latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,
60.543304,3.2141266,0,0,GMT,GMT,,,,,,,,,,
,,,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°),cloud_cover (%),surface_pressure (hPa),pressure_msl (hPa),weather_code (wmo code),wave_height (m),wave_direction (°),wind_wave_height (m),wind_wave_direction (°),ocean_current_velocity (km/h),ocean_current_direction (°),sea_surface_temperature (°C)
2025-02-06T13:00,8,87,38.5,199,98,1043.6,1043.6,3,2.78,260,1.54,196,1.2,27,NaN
2025-02-06T14:00,7.9,87,38.2,199,100,1043.6,1043.6,3,2.78,260,1.52,194,1.2,27,NaN
2025-02-06T15:00,8.2,86,41.4,197,100,1043.9,1043.9,3,2.78,260,1.5,193,1,31,NaN
2025-02-06T16:00,8.2,86,35.3,200,100,1044.1,1044.1,3,2.88,262,1.48,191,0.9,37,NaN
2025-02-06T17:00,8.1,88,34.6,196,86,1044.2,1044.2,3,2.98,263,1.44,189,0.6,34,NaN
2025-02-06T18:00,8.1,88,39.6,188,83,1044.7,1044.7,3,3.08,265,1.42,187,0.5,45,NaN
2025-02-06T19:00,8,89,36.7,190,37,1044.9,1044.9,1,3.16,267,1.4,186,0.4,27,NaN
2025-02-06T20:00,8,90,35.3,188,14,1045.3,1045.3,0,3.26,269,1.36,185,0.4,27,NaN
2025-02-06T21:00,7.9,90,37.1,194,54,1045.5,1045.5,2,3.34,271,1.34,184,0.6,18,NaN
2025-02-06T22:00,7.9,90,35.6,191,47,1045.6,1045.6,1,3.44,271,1.34,184,0.5,0,NaN
2025-02-06T23:00,7.9,90,34.2,192,63,1045.5,1045.5,2,3.54,272,1.34,183,0.7,0,NaN
2025-02-07T00:00,7.9,89,35.3,191,14,1045.2,1045.2,0,3.64,272,1.34,183,0.7,0,NaN
2025-02-07T01:00,7.9,90,35.6,185,17,1045.4,1045.4,0,3.54,272,1.22,182,0.7,0,NaN
2025-02-07T02:00,7.8,89,36,187,32,1045.2,1045.2,1,3.42,273,1.1,181,0.7,0,NaN
2025-02-07T03:00,7.8,89,34.2,190,10,1045.3,1045.3,0,3.32,273,0.98,180,0.6,18,NaN
2025-02-07T04:00,7.8,89,31.3,189,11,1044.7,1044.7,0,3.22,274,0.88,180,0.6,18,NaN
2025-02-07T05:00,7.7,88,28.1,189,36,1044.4,1044.4,1,3.1,274,0.76,179,0.4,27,NaN
2025-02-07T06:00,7.6,87,26.3,191,34,1044.2,1044.2,1,3,275,0.66,179,0.3,45,NaN
2025-02-07T07:00,7.4,86,23.8,189,36,1044.3,1044.3,1,2.98,275,0.64,180,0.3,45,NaN
2025-02-07T08:00,7.4,82,20.5,189,28,1044.5,1044.5,1,2.98,275,0.64,181,0.3,45,NaN
2025-02-07T09:00,7.4,80,22.3,182,83,1044.5,1044.5,3,2.96,275,0.62,182,0.3,45,NaN
2025-02-07T10:00,7.3,79,23.8,179,16,1044.2,1044.2,0,3,276,0.62,183,0.4,27,NaN
2025-02-07T11:00,7.3,79,27.7,179,39,1044.1,1044.1,1,3.06,276,0.64,183,0.6,18,NaN
2025-02-07T12:00,7.1,78,27,186,14,1043.4,1043.4,0,3.1,277,0.64,184,0.7,14,NaN
2025-02-07T13:00,7.1,77,20.5,184,1,1042.4,1042.4,0,2.96,277,0.58,181,0.8,27,NaN
2025-02-07T14:00,7.1,77,20.2,174,3,1041.9,1041.9,0,2.8,277,0.54,177,0.8,27,NaN
2025-02-07T15:00,6.9,77,25.2,159,1,1041.6,1041.6,0,2.66,277,0.48,174,0.8,45,NaN
2025-02-07T16:00,6.8,72,23.4,167,15,1040.9,1040.9,0,2.6,277,0.44,171,0.8,45,NaN
2025-02-07T17:00,6.7,74,19.1,173,0,1040.1,1040.1,0,2.54,278,0.42,167,0.6,72,NaN
2025-02-07T18:00,6.8,73,18.4,166,0,1039.8,1039.8,0,2.48,278,0.38,164,0.6,72,NaN
2025-02-07T19:00,6.8,68,18.4,172,0,1039.1,1039.1,0,2.4,278,0.36,164,0.5,90,NaN
2025-02-07T20:00,6.8,69,18.4,175,16,1038.5,1038.5,0,2.3,278,0.32,164,0.4,117,NaN
2025-02-07T21:00,6.8,68,19.4,177,5,1037.9,1037.9,0,2.22,278,0.3,164,0.4,117,NaN
2025-02-07T22:00,6.8,67,18,184,2,1037.2,1037.2,0,2.18,277,0.28,164,0.4,117,NaN
2025-02-07T23:00,6.8,66,18,188,0,1036.8,1036.8,0,2.12,277,0.26,164,0.4,90,NaN
2025-02-08T00:00,7,61,20.2,203,19,1036.4,1036.4,0,2.08,276,0.24,164,0.2,90,NaN
2025-02-08T01:00,7,55,19.1,189,2,1035.7,1035.7,0,2.06,273,0.38,164,0.3,45,NaN
2025-02-08T02:00,6.7,59,22.3,166,0,1035.2,1035.2,0,2.02,270,0.5,164,0.4,0,NaN
2025-02-08T03:00,6.4,66,27.4,149,7,1034.8,1034.8,0,2,267,0.64,164,0.4,0,NaN
2025-02-08T04:00,6.5,62,32.8,157,43,1034,1034,1,2.08,257,0.88,164,0.4,0,NaN
2025-02-08T05:00,5.7,58,38.2,154,19,1033.6,1033.6,0,2.16,247,1.1,163,0.2,0,NaN
2025-02-08T06:00,5.2,69,38.9,158,51,1033.2,1033.2,2,2.24,237,1.34,163,0.2,0,NaN
2025-02-08T07:00,5.3,68,41.8,154,91,1033,1033,3,2.34,224,1.5,162,0,90,NaN
2025-02-08T08:00,5.4,66,43.6,152,94,1033,1033,3,2.42,210,1.64,160,0,90,NaN
2025-02-08T09:00,5.4,64,43.2,152,90,1032.8,1032.8,3,2.52,197,1.8,159,0,90,NaN
2025-02-08T10:00,5.5,62,43.2,146,72,1032.6,1032.6,2,2.58,191,1.9,158,0.2,270,NaN
2025-02-08T11:00,5.3,62,42.5,144,71,1032.1,1032.1,2,2.62,186,2.02,158,0.3,315,NaN
2025-02-08T12:00,5.2,63,43.6,150,55,1032,1032,2,2.68,180,2.12,157,0.3,315,NaN
2025-02-08T13:00,5.2,62,40.7,153,70,1031.6,1031.6,2,2.7,179,2.1,157,0.4,333,NaN
2025-02-08T14:00,5.2,62,40.3,158,68,1031.4,1031.4,2,2.72,177,2.08,158,0.4,333,NaN
2025-02-08T15:00,5.4,61,42.1,161,75,1031.3,1031.3,2,2.74,176,2.06,158,0.4,0,NaN
2025-02-08T16:00,5.3,62,40,164,87,1031.6,1031.6,3,2.76,177,1.96,160,0.4,0,NaN
2025-02-08T17:00,5.4,63,40.3,169,97,1031.7,1031.7,3,2.8,177,1.84,162,0.3,45,NaN
2025-02-08T18:00,5.4,69,41.8,173,100,1032.3,1032.3,3,2.82,178,1.74,164,0.2,90,NaN
2025-02-08T19:00,5.2,71,41.8,181,100,1032.9,1032.9,51,2.76,179,1.72,166,0.3,135,NaN
2025-02-08T20:00,5.2,67,41.4,181,100,1033.2,1033.2,51,2.68,179,1.68,167,0.3,135,NaN
2025-02-08T21:00,5.4,65,43.2,183,97,1033.4,1033.4,3,2.62,180,1.66,169,0.4,153,NaN
2025-02-08T22:00,5.4,64,41.8,186,88,1034,1034,3,2.56,182,1.64,171,0.4,153,NaN
2025-02-08T23:00,5.4,63,39.6,186,71,1034.4,1034.4,2,2.48,185,1.6,174,0.4,153,NaN
2025-02-09T00:00,5.4,66,38.5,184,89,1035.1,1035.1,3,2.42,187,1.58,176,0.2,180,NaN
2025-02-09T01:00,5.3,63,37.1,187,76,1035.5,1035.5,2,2.34,186,1.42,177,0.2,180,NaN
2025-02-09T02:00,5.2,64,33.8,190,60,1036.1,1036.1,2,2.24,186,1.26,178,0,90,NaN
2025-02-09T03:00,5.3,64,31.7,192,65,1037,1037,2,2.16,185,1.1,179,0.2,0,NaN
2025-02-09T04:00,5.2,64,29.2,191,33,1037.4,1037.4,1,2.08,185,0.98,180,0,90,NaN
2025-02-09T05:00,5.2,63,28.1,188,19,1037.6,1037.6,0,2.02,186,0.84,181,0.2,90,NaN
2025-02-09T06:00,5.2,63,29.9,190,26,1037.9,1037.9,1,1.94,186,0.72,182,0.2,90,NaN
2025-02-09T07:00,5.2,62,27.4,191,20,1038.7,1038.7,1,1.88,188,0.62,184,0.3,135,NaN
2025-02-09T08:00,5.3,63,24.8,191,6,1040.1,1040.1,0,1.84,189,0.5,185,0.4,153,NaN
2025-02-09T09:00,5.2,62,23,190,8,1041.4,1041.4,0,1.78,191,0.4,187,0.4,153,NaN
2025-02-09T10:00,5.2,62,20.9,192,11,1042,1042,0,1.72,192,0.32,188,0.6,162,NaN
2025-02-09T11:00,5.3,63,20.2,189,5,1042.3,1042.3,0,1.64,193,0.24,190,0.4,153,NaN
2025-02-09T12:00,5.4,64,21.6,193,11,1042.4,1042.4,0,1.58,194,0.16,191,0.4,180,NaN
2025-02-09T13:00,5.4,65,18.7,194,14,1042.9,1042.9,0,1.54,196,0.1,190,0.2,180,NaN
2025-02-09T14:00,5.4,65,15.8,200,14,1043.4,1043.4,0,1.52,198,0.06,190,0,90,NaN
2025-02-09T15:00,5.7,65,11.2,210,17,1043.5,1043.5,0,1.48,200,0,189,0.2,90,NaN
2025-02-09T16:00,5.7,65,10.1,216,23,1043.9,1043.9,1,1.42,202,0,188,0.2,90,NaN
2025-02-09T17:00,5.7,65,10.4,188,4,1044.1,1044.1,0,1.36,205,0,187,0.2,90,NaN
2025-02-09T18:00,5.5,63,7.2,197,5,1044.7,1044.7,0,1.3,207,0,186,0.4,117,NaN
2025-02-09T19:00,5.6,62,2.9,194,2,1045.4,1045.4,0,1.26,210,0,159,0.5,135,NaN
2025-02-09T20:00,5.6,62,4.3,154,1,1045.3,1045.3,0,1.22,213,0,131,0.6,146,NaN
2025-02-09T21:00,5.3,61,3.2,153,0,1045.3,1045.3,0,1.18,216,0,104,0.8,153,NaN
2025-02-09T22:00,5.4,61,1.1,72,11,1045.6,1045.6,0,1.24,221,0,76,1,158,NaN
2025-02-09T23:00,5.4,60,2.5,91,1,1045.4,1045.4,0,1.28,225,0,49,0.9,169,NaN
2025-02-10T00:00,5.7,62,4.7,65,1,1045.1,1045.1,0,1.34,230,0,21,0.7,166,NaN
2025-02-10T01:00,5.7,63,6.1,59,2,1045.4,1045.4,0,1.26,233,0,25,0.7,166,NaN
2025-02-10T02:00,5.7,63,7.2,66,1,1045.1,1045.1,0,1.2,237,0,30,0.5,180,NaN
2025-02-10T03:00,5.7,64,7.2,67,2,1045.4,1045.4,0,1.12,240,0,34,0.4,180,NaN
2025-02-10T04:00,5.6,67,7.9,58,1,1044.8,1044.8,0,1.08,245,0,38,0.4,180,NaN
